,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
6380,Croatia,Europe,4429687.0,44.9818134875,,2000,2005
6381,Cyprus,Asia,1037070.0,44.82302028666667,17.187461579243845,2000,2005
6382,Czech Republic,Europe,10280122.0,45.59441590166667,33.341664960370345,2000,2005
6383,Czech Republic,Europe,10280122.0,45.59441590166667,2.2227460686959244,2000,2005
6384,DR Congo,Africa,56550244.0,16.850582384166668,18.510838408804563,2000,2005
6385,Denmark,Europe,5436314.0,57.10553166666667,8.312035495803617,2000,2005
6386,Djibouti,Africa,830863.0,34.631523885,13.067865859350869,2000,2005
6387,Dominican Republic,Americas,9164770.0,16.385214666666666,20.158074060368136,2000,2005
6388,Egypt,Africa,79075312.0,40.400466602499996,,2000,2005
6389,Equatorial Guinea,Africa,864740.0,19.102885994999998,175.41707020723118,2000,2005
6390,Estonia,Europe,1354665.0,34.46619584,33.9833075255958,2000,2005
6391,Eswatini,Africa,1071895.0,32.78765059333333,19.873507527448297,2000,2005
6392,Ethiopia,Africa,77469944.0,25.922883715,7.4522939649346975,2000,2005
6393,Finland,Europe,5246070.0,51.33450833333333,12.534465675347374,2000,2005
6394,France,Europe,60510080.0,55.599585,6.243055904755734,2000,2005
6395,Gabon,Africa,1458362.0,29.040807638333334,16.922295963451095,2000,2005
6396,Gambia,Africa,1660377.0,22.397269841666667,6.992321748531194,2000,2005
6397,Georgia,Asia,3961183.0,20.06784329,40.02983442852985,2000,2005
6398,Germany,Europe,81212168.0,50.181864999999995,8.506203006927283,2000,2005
6399,Ghana,Africa,22496952.0,23.698273333333333,14.807200709615277,2000,2005
6400,Greece,Europe,11113450.0,51.364554999999996,24.450798108038562,2000,2005
6401,Guinea,Africa,9140112.0,20.269835478333334,13.3806722359868,2000,2005
6402,Guinea-Bissau,Africa,1379714.0,25.709401671666665,-0.33151027196729466,2000,2005
6403,Haiti,Americas,9111901.0,12.557583833333334,-3.8750620426043048,2000,2005
6404,Honduras,Americas,7564615.0,27.881240000000002,15.44916318248144,2000,2005
6405,Hong Kong,Asia,6936872.0,18.411375333333336,16.10594147688287,2000,2005
6406,Hungary,Europe,10073533.0,53.68564833333334,38.169242120260584,2000,2005
6407,Iceland,Europe,297037.0,47.78762666666666,14.424695446367043,2000,2005
6408,India,Asia,1154638720.0,32.97754,23.376074712393603,2000,2005
6409,Indonesia,Asia,228805152.0,23.132808333333333,20.385335622346723,2000,2005
6410,Iran,Asia,70182592.0,23.561988,43.99213905952302,2000,2005
6411,Iraq,Asia,28698688.0,77.73286353,,2000,2005
6412,Ireland,Europe,4121220.0,34.35366333333334,26.843139680208218,2000,2005
6413,Israel,Asia,6714119.0,60.74688833333334,-1.4292040628055669,2000,2005
6414,Italy,Europe,58199876.0,52.84453666666667,6.5872369638029005,2000,2005
6415,Japan,Asia,127798376.0,38.94475833333333,4.959060016904138,2000,2005
6416,Jordan,Asia,5678541.0,39.48717295833333,29.37568495590499,2000,2005
6417,Kazakhstan,Asia,15656255.0,15.215692516833334,63.638991473153,2000,2005
6418,Kenya,Africa,35843016.0,25.643642311666667,12.687708263007158,2000,2005
